next_O3,next_PM2.5,next_PM10,next_CO,next_SO2,next_NO2
33.4,13.3,25.8,0.3,1,6.9
33.5,13.3,25.8,0.3,1,6.4
32.6,13.3,25.8,0.3,0.5,5.9
33.5,13.3,25.8,0.3,0.5,4.8
33.6,13.3,25.8,0.3,0.5,5
32.6,13.3,25.8,0.3,0.5,6.1
31.2,13.3,25.8,0.3,0.5,7.5
30.4,13.3,25.8,0.2,1,9.3
30.2,13.3,25.8,0.2,0.5,10.5
30,13.3,25.8,0.2,0.5,11.3
31.3,13.3,25.8,0.2,0.5,11.4
33.8,8.3,16.7,0.2,0.5,10.3
34.3,7.3,16.9,0.3,1,10.3
33.9,6.8,16.2,0.3,1,10.9
33.1,5.6,16.4,0.3,0.5,11.1
32.8,5.6,16.5,0.3,1.4,10.7
29,5.5,14.5,0.3,1.5,13
24.9,5.2,13,0.3,1.6,15.7
21.1,5.8,11.9,0.3,1.8,17.8
15.2,5.5,10.6,0.3,1.4,21.2
13.7,5.5,10.4,0.3,1.1,22.4
11.9,5.7,11.1,0.4,1.1,22.8
12.4,5.9,11,0.4,1.7,22.1
12.8,6.3,11,0.4,1.4,20.8
11.5,6,12,0.4,1.3,13
19.2,5.9,11.7,0.4,1.2,9.9
7.4,5.8,11.1,0.4,1.3,13.7
3.3,5.5,10.7,0.4,1.6,14.2
9.5,5.5,11,0.4,1.7,12.4
3.8,5.7,11.1,0.4,2.2,14.8
6.5,5.7,11.4,0.4,3.7,17.8
9.9,5.9,12.5,0.4,3.3,19.4
14.3,6,13.7,0.4,1.7,20.9
18.5,6.1,15.6,0.4,2.3,23.3
32.7,6.7,16.9,0.4,2,17.8
40.4,7,18.5,0.4,2,18.6
50.7,7.9,18.7,0.4,1.8,16.7
49.9,8.8,20.8,0.5,1.4,9.6
45.7,9.3,21.4,0.5,1,8.8
41.3,9.4,21.8,0.4,1.4,10.4
29,10,23.7,0.4,1.6,19.4
16.2,10.2,24.1,0.4,2,29.2
5.2,10.5,27,0.4,2.6,38.1
3.5,12.1,28.8,0.4,2,36.7
4.4,12.7,29.5,0.4,1.9,31.8
10.4,12.9,28.8,0.5,1.3,24.9
18.1,13,27,0.5,0.5,15.2
17.5,11.9,24.6,0.5,1.5,13.1
5.8,11.9,22.6,0.5,1.2,20.4
4.1,11.9,21.1,0.5,1.3,18.1
2.1,11.4,20.4,0.5,1.3,15.1
1.6,10.9,19.8,0.5,1.5,15.6
1.4,10.1,18.6,0.4,1.5,15.2
2.4,10.1,18.4,0.4,2.2,17.2
2.8,10.3,18.1,0.4,2.9,18.7
4.4,10.6,18.8,0.4,3.5,21.8
